lat_deg,lon_deg,access_fraction,max_gap_s,num_complete_passes,longest_pass_s,peak_elevation_deg
60.0,0.0,0.8117045544471715,8245.650368599454,27,35180.28951589065,46.100731681702754
60.0,2.5,0.8114958277783614,8258.938500283752,27,35435.47265548236,47.10978675965113
60.0,5.0,0.8110732138749257,8281.31345328386,27,35680.839130252134,48.13818241233507
60.0,7.5,0.8104379199481958,8312.866767270025,27,35916.19003681163,49.18539525732257
60.0,10.0,0.8095973647760062,8353.125885107787,27,36141.397834886564,50.250892989620645
60.0,12.5,0.8085559199939906,8401.79861873528,27,36356.599923271686,51.33413388796835
60.0,15.0,0.8073228987031397,8458.66767032654,27,36561.2344010009,52.43456619052712
60.0,17.5,0.8059079288052544,8522.96160571184,27,36756.144926849985,53.5516273148032
60.0,20.0,0.804321887543201,8594.034326865105,27,36940.88432969479,54.68474288863601
60.0,22.5,0.8025780883809766,8671.567052548751,27,37116.017980355304,55.83332554834475
60.0,25.0,0.800687914519269,8754.712364780717,27,37281.484102960676,56.99677344559575
60.0,27.5,0.7986673196069074,8843.024318175623,27,37437.399179834174,58.1744683847289
60.0,30.0,0.7965315098167631,8935.537025568308,27,37584.4331679258,59.365773484974284
60.0,32.5,0.7942976727361398,9031.61539417901,27,37722.46682135761,60.57003022396224
60.0,35.0,0.7919825441526549,9130.619429523824,27,37851.87631551619,61.78655466535788
60.0,37.5,0.7896033381436107,9231.53838638682,27,37973.02695830213,63.01463259701822
60.0,40.0,0.7871780130114939,9333.791572101414,27,38086.1996228646,64.2535131955695
60.0,42.5,0.7847267105899546,9436.391044736374,27,38191.720905952854,65.50240067133586
60.0,45.0,0.7822665244614597,9538.823700785637,27,38289.86035858304,66.76044310697576
60.0,47.5,0.7798162598294953,9640.215070211794,27,38380.719655184774,68.02671749096018
60.0,50.0,0.7773943031801249,9739.612012619153,27,38464.5299199163,69.30020835228957
60.0,52.5,0.7750212107482897,9836.31951415725,27,38542.09112052224,70.57977976208831
60.0,55.0,0.7727119289600417,9929.906200264115,27,38613.06320624915,71.86413441953881
60.0,57.5,0.7704848493032255,10019.205478059826,27,38677.883236505324,73.15176103017747
60.0,60.0,0.7683570688290298,10104.14350125962,27,38736.749238196295,74.44094207491186
60.0,62.5,0.7663440281538831,10183.520473677432,27,38789.95607402059,75.76117050885307
60.0,65.0,0.7644614189377865,10256.822430066997,27,38837.6600659159,77.08302934142682
60.0,67.5,0.762723588813625,10323.926314336015,27,38879.68459442002,78.47220416000718
60.0,70.0,0.7611428796302365,10383.768491648603,27,38916.83767691464,79.89800767694145
